player.name,team.name,label,stoppedProgressCount,recoveredPossessionCount,totalDuels,stoppedProgressPercentage,recoveredPossessionPercentage
B. Meling,København,"Lyngby - København, 0 - 2",8,3,9,88.88888888888889,33.33333333333333
B. Meling,København,"SønderjyskE - København, 0 - 2",4,2,4,100.0,50.0
B. Nygren,Nordsjælland,"AGF - Nordsjælland, 4 - 2",4,0,7,57.14285714285714,0.0
B. Nygren,Nordsjælland,"Nordsjælland - København, 3 - 2",4,2,7,57.14285714285714,28.57142857142857
B. Nygren,Nordsjælland,"Nordsjælland - Lyngby, 1 - 1",2,1,3,66.66666666666666,33.33333333333333
B. Nygren,Nordsjælland,"Nordsjælland - Randers, 1 - 1",2,0,9,22.22222222222222,0.0
B. Nygren,Nordsjælland,"Silkeborg - Nordsjælland, 4 - 1",5,2,5,100.0,40.0
B. Nygren,Nordsjælland,"Vejle - Nordsjælland, 0 - 1",True,True,1,100.0,100.0
B. Nygren,Nordsjælland,"Viborg - Nordsjælland, 3 - 2",6,0,9,66.66666666666666,0.0
B. Pudel,AaB,"Nordsjælland - AaB, 3 - 0",True,False,1,100.0,0.0
B. Rolland,Lyngby,"Lyngby - Vejle, 1 - 0",2,2,2,100.0,100.0
B. Rolland,Lyngby,"Viborg - Lyngby, 1 - 0",4,1,7,57.14285714285714,14.285714285714285
C. Bischoff,Brøndby,"AaB - Brøndby, 0 - 4",True,True,1,100.0,100.0
C. Bischoff,Brøndby,"Brøndby - AGF, 0 - 1",2,0,4,50.0,0.0
C. Bischoff,Brøndby,"Brøndby - Randers, 2 - 2",5,3,9,55.55555555555556,33.33333333333333
C. Bischoff,Brøndby,"Brøndby - SønderjyskE, 2 - 0",2,1,3,66.66666666666666,33.33333333333333
C. Bischoff,Brøndby,"Brøndby - Vejle, 2 - 1",3,1,8,37.5,12.5
C. Bischoff,Brøndby,"København - Brøndby, 3 - 1",7,3,9,77.77777777777779,33.33333333333333
C. Bischoff,Brøndby,"Lyngby - Brøndby, 0 - 2",2,0,4,50.0,0.0
C. Bischoff,Brøndby,"Viborg - Brøndby, 3 - 3",1,1,2,50.0,50.0
C. Cappis,Brøndby,"Brøndby - Vejle, 2 - 1",2,0,2,100.0,0.0
C. Gammelgaard,Vejle,"AGF - Vejle, 5 - 1",2,0,2,100.0,0.0
C. Gammelgaard,Vejle,"Brøndby - Vejle, 2 - 1",5,2,6,83.33333333333334,33.33333333333333
C. Gammelgaard,Vejle,"Vejle - Nordsjælland, 0 - 1",False,False,1,0.0,0.0
C. Harder,Nordsjælland,"AGF - Nordsjælland, 4 - 2",3,0,5,60.0,0.0
C. Harder,Nordsjælland,"Nordsjælland - AaB, 3 - 0",2,1,5,40.0,20.0
C. Harder,Nordsjælland,"Nordsjælland - København, 3 - 2",4,3,6,66.66666666666666,50.0
C. Harder,Nordsjælland,"Nordsjælland - Lyngby, 1 - 1",2,1,2,100.0,50.0
C. Harder,Nordsjælland,"Nordsjælland - Midtjylland, 2 - 2",1,0,3,33.33333333333333,0.0
C. Harder,Nordsjælland,"Silkeborg - Nordsjælland, 4 - 1",5,2,8,62.5,25.0
C. Harder,Nordsjælland,"Vejle - Nordsjælland, 0 - 1",1,0,3,33.33333333333333,0.0
C. McCowatt,Silkeborg,"Randers - Silkeborg, 0 - 2",3,2,6,50.0,33.33333333333333
C. Nouck,Viborg,"Silkeborg - Viborg, 3 - 2",True,False,1,100.0,0.0
C. Nouck,Viborg,"Vejle - Viborg, 0 - 5",1,0,6,16.666666666666664,0.0
C. Nouck,Viborg,"Viborg - Lyngby, 1 - 0",3,1,3,100.0,33.33333333333333
C. Nouck,Viborg,"Viborg - Nordsjælland, 3 - 2",2,2,3,66.66666666666666,66.66666666666666
C. Sørensen,Midtjylland,"Lyngby - Midtjylland, 1 - 2",True,False,1,100.0,0.0
C. Sørensen,Midtjylland,"Midtjylland - Vejle, 2 - 0",6,1,8,75.0,12.5
C. Winther,Lyngby,"AaB - Lyngby, 2 - 1",1,1,4,25.0,25.0
C. Winther,Lyngby,"Lyngby - Brøndby, 0 - 2",3,2,6,50.0,33.33333333333333
C. Winther,Lyngby,"Lyngby - København, 0 - 2",1,0,2,50.0,0.0
C. Winther,Lyngby,"Lyngby - Midtjylland, 1 - 2",8,5,12,66.66666666666666,41.66666666666667
C. Winther,Lyngby,"Lyngby - Vejle, 1 - 0",5,1,7,71.42857142857143,14.285714285714285
C. Winther,Lyngby,"Nordsjælland - Lyngby, 1 - 1",1,0,3,33.33333333333333,0.0
C. Winther,Lyngby,"SønderjyskE - Lyngby, 1 - 1",3,1,5,60.0,20.0
C. Winther,Lyngby,"Viborg - Lyngby, 1 - 0",2,1,2,100.0,50.0
