id,player.name,matchId,player.id,team.name,matchId,pass.recipient.name,pass.accurate,label,date,minute,second,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,shot.xg,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.name,possession.attack.xg
2263460457,E. Omerovic,5605871,679266,Esbjerg U19,5605871,,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",8,40,,,,,pass,"['lateral_pass', 'long_pass', 'pass_to_final_third']",40.0,61.0,78.0,0.0,,,,[],6.0,4.0,66.0,51.0,78.0,0.0,Esbjerg U19,
2263459919,,5605871,0,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",8,45,,,,,game_interruption,['ball_out'],22.0,100.0,,,,,,[],6.0,5.0,66.0,51.0,78.0,0.0,Esbjerg U19,
2263460458,E. Omerovic,5605871,679266,Esbjerg U19,5605871,E. Larsen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,5,,,,,pass,"['lateral_pass', 'recovery', 'short_or_medium_pass']",24.0,38.0,41.0,87.0,,,,"['attack', 'transition_low']",5.0,0.0,24.0,38.0,86.0,51.0,Esbjerg U19,0.0
2263460459,E. Larsen,5605871,766591,Esbjerg U19,5605871,M. Kruse,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,8,,,,,pass,"['forward_pass', 'pass_to_final_third', 'progressive_pass', 'short_or_medium_pass']",41.0,87.0,75.0,92.0,,,,"['attack', 'transition_low']",5.0,1.0,24.0,38.0,86.0,51.0,Esbjerg U19,0.0
2263460461,M. Kruse,5605871,765988,Esbjerg U19,5605871,K. Pedersen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,12,,,,,pass,['short_or_medium_pass'],75.0,92.0,72.0,83.0,,,,"['attack', 'transition_low']",5.0,2.0,24.0,38.0,86.0,51.0,Esbjerg U19,0.0
2263460462,K. Pedersen,5605871,679276,Esbjerg U19,5605871,M. Kruse,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,13,,,,,pass,"['deep_completion', 'forward_pass', 'pass_to_penalty_area', 'progressive_pass', 'short_or_medium_pass']",72.0,83.0,96.0,75.0,,,,"['attack', 'transition_low']",5.0,3.0,24.0,38.0,86.0,51.0,Esbjerg U19,0.0
2263460463,M. Kruse,5605871,765988,Esbjerg U19,5605871,L. Falk Hansen,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,16,,,,,pass,"['back_pass', 'cross', 'loss', 'touch_in_box']",96.0,75.0,73.0,68.0,,,,"['attack', 'transition_low']",5.0,4.0,24.0,38.0,86.0,51.0,Esbjerg U19,0.0
2263459924,L. Falk Hansen,5605871,694169,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,19,,,,,touch,['carry'],14.0,49.0,,,27.0,32.0,,[],10.0,0.0,14.0,49.0,21.0,0.0,AGF U19,
2263459925,L. Falk Hansen,5605871,694169,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,22,,,,,duel,"['dribble', 'ground_duel', 'offensive_duel']",27.0,32.0,,,,,,[],10.0,1.0,14.0,49.0,21.0,0.0,AGF U19,
2263460465,P. Nielsen,5605871,679653,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,22,,,,,duel,"['defensive_duel', 'dribbled_past_attempt', 'ground_duel', 'sliding_tackle']",73.0,68.0,,,,,,[],10.0,2.0,14.0,49.0,21.0,0.0,AGF U19,
2263459926,G. Efe Egbedi,5605871,1098968,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,23,,,,,duel,"['ground_duel', 'offensive_duel', 'carry']",30.0,22.0,,,35.0,25.0,,[],10.0,3.0,14.0,49.0,21.0,0.0,AGF U19,
2263460468,K. Pedersen,5605871,679276,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,23,,,,,duel,"['defensive_duel', 'ground_duel']",70.0,78.0,,,,,,[],10.0,4.0,14.0,49.0,21.0,0.0,AGF U19,
2263459928,G. Efe Egbedi,5605871,1098968,AGF U19,5605871,O. Haugstrup,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,25,,,,,pass,"['back_pass', 'short_or_medium_pass']",35.0,25.0,28.0,23.0,,,,[],10.0,5.0,14.0,49.0,21.0,0.0,AGF U19,
2263459927,O. Haugstrup,5605871,765207,AGF U19,5605871,E. Larsen,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,26,,,,,pass,"['loss', 'progressive_pass', 'carry', 'short_or_medium_pass']",28.0,23.0,25.0,10.0,24.0,11.0,,[],10.0,6.0,14.0,49.0,21.0,0.0,AGF U19,
2263460470,E. Larsen,5605871,766591,Esbjerg U19,5605871,O. Haugstrup,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,28,,,,,interception,"['forward_pass', 'loss', 'pass', 'short_or_medium_pass']",75.0,90.0,76.0,89.0,,,,[],10.0,7.0,14.0,49.0,21.0,0.0,AGF U19,
2263459929,O. Haugstrup,5605871,765207,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,28,,,,,interception,[],24.0,11.0,,,,,,[],10.0,8.0,14.0,49.0,21.0,0.0,AGF U19,
2263459930,,5605871,0,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",9,32,,,,,game_interruption,['ball_out'],21.0,0.0,,,,,,[],10.0,9.0,14.0,49.0,21.0,0.0,AGF U19,
2263460483,M. Engsted,5605871,766612,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",10,19,,,,,interception,[],11.0,29.0,,,,,,[],2.0,0.0,11.0,29.0,0.0,11.0,Esbjerg U19,
2263459947,,5605871,0,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",10,24,,,,,game_interruption,['ball_out'],100.0,89.0,,,,,,[],2.0,1.0,11.0,29.0,0.0,11.0,Esbjerg U19,
2263460488,A. Drexel,5605871,768987,Esbjerg U19,5605871,E. Larsen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",11,13,,,,,pass,"['hand_pass', 'lateral_pass', 'recovery', 'short_or_medium_pass']",14.0,51.0,28.0,82.0,,,,['transition_low'],4.0,0.0,14.0,51.0,64.0,65.0,Esbjerg U19,
2263460489,E. Larsen,5605871,766591,Esbjerg U19,5605871,A. Lund Jørgensen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",11,18,,,,,pass,"['forward_pass', 'long_pass', 'progressive_pass']",28.0,82.0,64.0,65.0,,,,['transition_low'],4.0,1.0,14.0,51.0,64.0,65.0,Esbjerg U19,
2263459949,C. Storch,5605871,769069,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",11,20,,,,,duel,"['defensive_duel', 'ground_duel', 'recovery']",36.0,35.0,,,,,,['transition_low'],4.0,2.0,14.0,51.0,64.0,65.0,Esbjerg U19,
