PLAYER_WYID,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
0,"OB U19 - Sønderjyske U19, 1 - 0",3,2,0,66.67,0.0
0,"OB U19 - Vejle U19, 4 - 0",25,17,9,68.0,36.0
0,"Randers U19 - AGF U19, 3 - 2",14,8,0,57.14,0.0
0,"Randers U19 - AaB U19, 3 - 2",20,11,3,55.0,15.0
0,"Randers U19 - Brøndby U19, 3 - 2",1,1,1,100.0,100.0
0,"Randers U19 - Esbjerg U19, 1 - 2",7,6,3,85.71,42.86
0,"Randers U19 - Horsens U19, 2 - 1",27,16,0,59.26,0.0
0,"Randers U19 - København U19, 1 - 1",26,13,6,50.0,23.08
0,"Randers U19 - Lyngby U19, 0 - 2",8,5,3,62.5,37.5
0,"Randers U19 - Midtjylland U19, 1 - 2",23,13,4,56.52,17.39
0,"Randers U19 - Nordsjælland U19, 2 - 1",26,16,7,61.54,26.92
0,"Randers U19 - OB U19, 1 - 5",21,8,3,38.1,14.29
0,"Randers U19 - Silkeborg U19, 1 - 0",5,2,1,40.0,20.0
0,"Randers U19 - SønderjyskE U19, 0 - 2",35,24,8,68.57,22.86
0,"Randers U19 - Vejle U19, 0 - 1",6,4,2,66.67,33.33
0,"Silkeborg U19 - AGF U19, 0 - 1",47,28,12,59.57,25.53
0,"Silkeborg U19 - AaB U19, 2 - 2 (P)",43,24,12,55.81,27.91
0,"Silkeborg U19 - Brøndby U19, 3 - 1",17,12,2,70.59,11.76
0,"Silkeborg U19 - Esbjerg U19, 1 - 1 (P)",18,12,6,66.67,33.33
0,"Silkeborg U19 - Horsens U19, 1 - 1 (P)",26,20,7,76.92,26.92
0,"Silkeborg U19 - København U19, 3 - 3 (P)",22,14,6,63.64,27.27
0,"Silkeborg U19 - Lyngby U19, 2 - 2 (P)",10,4,0,40.0,0.0
0,"Silkeborg U19 - Midtjylland U19, 1 - 5",19,14,6,73.68,31.58
0,"Silkeborg U19 - Nordsjælland U19, 0 - 0 (P)",10,4,2,40.0,20.0
0,"Silkeborg U19 - OB U19, 2 - 3",10,7,3,70.0,30.0
0,"Silkeborg U19 - Randers U19, 2 - 0",12,7,3,58.33,25.0
0,"Silkeborg U19 - Vejle U19, 1 - 1 (P)",5,4,1,80.0,20.0
0,"SønderjyskE U19 - AGF U19, 1 - 2",16,8,5,50.0,31.25
0,"SønderjyskE U19 - AaB U19, 0 - 2",19,15,7,78.95,36.84
0,"SønderjyskE U19 - København U19, 2 - 0",22,15,6,68.18,27.27
0,"SønderjyskE U19 - OB U19, 1 - 3",25,13,3,52.0,12.0
0,"SønderjyskE U19 - Vejle U19, 2 - 3",35,18,2,51.43,5.71
0,"Sønderjyske U19 - Brøndby U19, 2 - 1",23,13,6,56.52,26.09
0,"Sønderjyske U19 - Esbjerg U19, 2 - 0",4,4,1,100.0,25.0
0,"Sønderjyske U19 - Horsens U19, 3 - 2",1,1,0,100.0,0.0
