id,player.name,player.id,team.name,matchId,pass.recipient.name,pass.accurate,label,date,minute,second,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,shot.xg,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.name,possession.attack.xg
2263459878,A. Skovgaard,813151,AGF U19,5605871,S. Schøt,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,44,,,,,pass,['short_or_medium_pass'],10.0,9.0,9.0,18.0,,,,[],16.0,12.0,14.0,54.0,42.0,19.0,AGF U19,
2263459879,S. Schøt,1098962,AGF U19,5605871,V. De Paoli,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,45,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",9.0,18.0,3.0,43.0,,,,[],16.0,13.0,14.0,54.0,42.0,19.0,AGF U19,
2263459880,V. De Paoli,752651,AGF U19,5605871,W. Rygaard,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,47,,,,,pass,"['forward_pass', 'long_pass', 'progressive_pass']",3.0,43.0,42.0,19.0,,,,[],16.0,14.0,14.0,54.0,42.0,19.0,AGF U19,
2263459881,W. Rygaard,850107,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,50,,,,,duel,"['aerial_duel', 'loss']",42.0,19.0,,,,,,[],16.0,15.0,14.0,54.0,42.0,19.0,AGF U19,
2263460343,E. Omerovic,679266,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,50,,,,,duel,"['aerial_duel', 'recovery']",58.0,81.0,,,,,,['transition_medium'],16.0,0.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460344,R. Zwinge,766588,Esbjerg U19,5605871,M. Svane,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,54,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",43.0,63.0,41.0,32.0,,,,['transition_medium'],16.0,1.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460345,M. Svane,679269,Esbjerg U19,5605871,A. Drexel,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",5,56,,,,,pass,"['back_pass', 'short_or_medium_pass']",41.0,32.0,16.0,44.0,,,,['transition_medium'],16.0,2.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460346,A. Drexel,768987,Esbjerg U19,5605871,E. Omerovic,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,1,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",16.0,44.0,16.0,79.0,,,,['transition_medium'],16.0,3.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460347,E. Omerovic,679266,Esbjerg U19,5605871,A. Lund Jørgensen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,4,,,,,pass,"['forward_pass', 'long_pass', 'progressive_pass']",16.0,79.0,65.0,57.0,,,,['transition_medium'],16.0,4.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263459883,C. Storch,769069,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,6,,,,,duel,"['loose_ball_duel', 'recovery']",35.0,43.0,,,,,,['transition_medium'],16.0,5.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460348,A. Lund Jørgensen,750795,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,6,,,,,duel,['loose_ball_duel'],65.0,57.0,,,,,,['transition_medium'],16.0,6.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263459884,C. Storch,769069,AGF U19,5605871,A. Skovgaard,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,7,,,,,pass,"['head_pass', 'lateral_pass', 'short_or_medium_pass']",36.0,42.0,47.0,14.0,,,,['transition_medium'],16.0,7.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263459885,A. Skovgaard,813151,AGF U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,8,,,,,duel,"['aerial_duel', 'loss']",47.0,14.0,,,,,,['transition_medium'],16.0,8.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460350,E. Larsen,766591,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,8,,,,,duel,"['aerial_duel', 'recovery', 'counterpressing_recovery']",53.0,86.0,,,,,,['transition_medium'],16.0,9.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263461021,B. Baldursson,835759,Esbjerg U19,5605871,E. Larsen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,11,,,,,pass,"['lateral_pass', 'short_or_medium_pass']",45.0,65.0,45.0,92.0,,,,['transition_medium'],16.0,10.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460351,E. Larsen,766591,Esbjerg U19,5605871,E. Omerovic,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,13,,,,,pass,"['back_pass', 'short_or_medium_pass']",45.0,92.0,29.0,83.0,,,,['transition_medium'],16.0,11.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460352,E. Omerovic,679266,Esbjerg U19,5605871,F. Elkjær Andersen,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,14,,,,,pass,"['forward_pass', 'long_pass', 'loss']",29.0,83.0,56.0,77.0,,,,['transition_medium'],16.0,12.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263459886,F. Elkjær Andersen,752351,AGF U19,5605871,A. Lund Jørgensen,False,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,14,,,,,pass,"['back_pass', 'head_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",44.0,23.0,36.0,34.0,,,,['transition_medium'],16.0,13.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460353,A. Lund Jørgensen,750795,Esbjerg U19,5605871,M. Kruse,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,17,,,,,pass,"['recovery', 'counterpressing_recovery', 'short_or_medium_pass']",64.0,66.0,61.0,71.0,,,,['transition_medium'],16.0,14.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263460354,M. Kruse,765988,Esbjerg U19,5605871,,,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,17,,,,,touch,['loss'],61.0,71.0,,,,,,['transition_medium'],16.0,15.0,58.0,81.0,64.0,66.0,Esbjerg U19,
2263459887,O. Haugstrup,765207,AGF U19,5605871,G. Efe Egbedi,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,20,,,,,pass,"['forward_pass', 'progressive_pass', 'recovery', 'counterpressing_recovery', 'short_or_medium_pass']",36.0,34.0,64.0,20.0,,,,"['attack', 'transition_medium']",8.0,0.0,36.0,34.0,73.0,63.0,AGF U19,0.0
2263459888,G. Efe Egbedi,1098968,AGF U19,5605871,F. Elkjær Andersen,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,21,,,,,pass,"['forward_pass', 'pass_to_final_third', 'progressive_pass', 'short_or_medium_pass']",64.0,20.0,76.0,27.0,,,,"['attack', 'transition_medium']",8.0,1.0,36.0,34.0,73.0,63.0,AGF U19,0.0
2263459890,F. Elkjær Andersen,752351,AGF U19,5605871,G. Efe Egbedi,True,"Esbjerg U19 - AGF U19, 1 - 2","August 16, 2024 at 2:00:00 PM GMT+2",6,24,,,,,pass,"['forward_pass', 'short_or_medium_pass']",76.0,27.0,94.0,13.0,,,,"['attack', 'transition_medium']",8.0,2.0,36.0,34.0,73.0,63.0,AGF U19,0.0
