player.name,team.name,label,pass.recipient.name,date,location.x,location.y,pass.endLocation.x,pass.endLocation.y,carry.endLocation.x,carry.endLocation.y,penalty_area_entry
O. Sørensen,Midtjylland,"AGF - Midtjylland, 1 - 1",H. Dalsgaard,"July 19, 2024 at 6:00:00 PM GMT+2",87.0,83.0,93.0,39.0,,,True
H. Dalsgaard,AGF,"AGF - Midtjylland, 1 - 1",F. Beijmo,"July 19, 2024 at 6:00:00 PM GMT+2",45.0,95.0,96.0,75.0,,,True
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",80.0,72.0,,,88.0,62.0,True
E. Ólafsson,Midtjylland,"AGF - Midtjylland, 1 - 1",J. Hansen,"July 19, 2024 at 6:00:00 PM GMT+2",16.0,50.0,87.0,51.0,,,True
A. Rømer,Midtjylland,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",70.0,39.0,,,87.0,29.0,True
F. Beijmo,AGF,"AGF - Midtjylland, 1 - 1",A. Şimşir,"July 19, 2024 at 6:00:00 PM GMT+2",75.0,92.0,86.0,68.0,,,True
N. Poulsen,AGF,"AGF - Midtjylland, 1 - 1",T. Bech,"July 19, 2024 at 6:00:00 PM GMT+2",75.0,86.0,92.0,74.0,,,True
M. Emil Madsen,AGF,"AGF - Midtjylland, 1 - 1",G. Links,"July 19, 2024 at 6:00:00 PM GMT+2",85.0,88.0,89.0,32.0,,,True
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1",J. Andersson,"July 19, 2024 at 6:00:00 PM GMT+2",79.0,91.0,91.0,43.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",P. Mortensen,"July 19, 2024 at 6:00:00 PM GMT+2",100.0,0.0,96.0,45.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",J. Hansen,"July 19, 2024 at 6:00:00 PM GMT+2",62.0,35.0,90.0,47.0,,,True
O. Diao,Midtjylland,"AGF - Midtjylland, 1 - 1",J. Hansen,"July 19, 2024 at 6:00:00 PM GMT+2",26.0,68.0,88.0,67.0,,,True
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1",T. Bech,"July 19, 2024 at 6:00:00 PM GMT+2",93.0,95.0,88.0,59.0,,,True
Franculino Djú,Midtjylland,"AGF - Midtjylland, 1 - 1",A. Şimşir,"July 19, 2024 at 6:00:00 PM GMT+2",80.0,31.0,94.0,29.0,,,True
Paulinho,Midtjylland,"AGF - Midtjylland, 1 - 1",Franculino Djú,"July 19, 2024 at 6:00:00 PM GMT+2",69.0,21.0,86.0,34.0,,,True
F. Tingager,AGF,"AGF - Midtjylland, 1 - 1",E. Ólafsson,"July 19, 2024 at 6:00:00 PM GMT+2",34.0,47.0,91.0,72.0,,,True
G. Links,AGF,"AGF - Midtjylland, 1 - 1",O. Diao,"July 19, 2024 at 6:00:00 PM GMT+2",73.0,7.0,92.0,19.0,,,True
D. Osorio,Midtjylland,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",63.0,81.0,,,91.0,63.0,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",K. Askildsen,"July 19, 2024 at 6:00:00 PM GMT+2",73.0,72.0,89.0,64.0,,,True
M. Anderson,AGF,"AGF - Midtjylland, 1 - 1",J. Jensen-Abbew,"July 19, 2024 at 6:00:00 PM GMT+2",89.0,13.0,96.0,29.0,,,True
O. Diao,Midtjylland,"AGF - Midtjylland, 1 - 1",F. Tingager,"July 19, 2024 at 6:00:00 PM GMT+2",60.0,82.0,95.0,81.0,,,True
M. Emil Madsen,AGF,"AGF - Midtjylland, 1 - 1",F. Beijmo,"July 19, 2024 at 6:00:00 PM GMT+2",80.0,47.0,89.0,67.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",E. Chilufya,"July 19, 2024 at 6:00:00 PM GMT+2",67.0,72.0,91.0,72.0,,,True
M. Bech,Midtjylland,"AGF - Midtjylland, 1 - 1",A. Buksa,"July 19, 2024 at 6:00:00 PM GMT+2",82.0,100.0,86.0,56.0,,,True
K. Askildsen,Midtjylland,"AGF - Midtjylland, 1 - 1",H. Dalsgaard,"July 19, 2024 at 6:00:00 PM GMT+2",73.0,7.0,90.0,45.0,,,True
V. Bak Jensen,Midtjylland,"AGF - Midtjylland, 1 - 1",E. Chilufya,"July 19, 2024 at 6:00:00 PM GMT+2",79.0,15.0,90.0,42.0,,,True
E. Kahl,AGF,"AGF - Midtjylland, 1 - 1",E. Ólafsson,"July 19, 2024 at 6:00:00 PM GMT+2",66.0,91.0,95.0,51.0,,,True
V. Bak Jensen,Midtjylland,"AGF - Midtjylland, 1 - 1",,"July 19, 2024 at 6:00:00 PM GMT+2",73.0,7.0,94.0,21.0,,,True
M. Bech,Midtjylland,"AGF - Midtjylland, 1 - 1",A. Buksa,"July 19, 2024 at 6:00:00 PM GMT+2",91.0,0.0,94.0,45.0,,,True
S. Haugen,AGF,"AGF - Midtjylland, 1 - 1",M. Bech,"July 19, 2024 at 6:00:00 PM GMT+2",96.0,13.0,92.0,49.0,,,True
H. Dalsgaard,AGF,"AGF - Midtjylland, 1 - 1",F. Tingager,"July 19, 2024 at 6:00:00 PM GMT+2",88.0,0.0,97.0,36.0,,,True
A. Buksa,Midtjylland,"AGF - Midtjylland, 1 - 1",J. Hansen,"July 19, 2024 at 6:00:00 PM GMT+2",54.0,42.0,88.0,67.0,,,True
J. Andersson,Midtjylland,"AGF - Midtjylland, 1 - 1",S. Haugen,"July 19, 2024 at 6:00:00 PM GMT+2",86.0,10.0,91.0,45.0,,,True
M. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",79.0,82.0,,,88.0,79.0,True
P. Ankersen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",S. Otoa,"July 19, 2024 at 8:00:00 PM GMT+2",77.0,94.0,87.0,61.0,,,True
O. Ross,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",40.0,12.0,100.0,72.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",M. Ingvartsen,"July 19, 2024 at 8:00:00 PM GMT+2",83.0,18.0,87.0,48.0,,,True
O. Ross,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",73.0,68.0,,,90.0,72.0,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",87.0,0.0,95.0,41.0,,,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",82.0,12.0,100.0,69.0,,,True
J. Tverskov,Nordsjælland,"Nordsjælland - AaB, 3 - 0",O. Antman,"July 19, 2024 at 8:00:00 PM GMT+2",63.0,65.0,91.0,42.0,,,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",M. Jørgensen,"July 19, 2024 at 8:00:00 PM GMT+2",70.0,12.0,88.0,30.0,,,True
O. Antman,Nordsjælland,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",29.0,31.0,,,87.0,32.0,True
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",C. Harder,"July 19, 2024 at 8:00:00 PM GMT+2",80.0,26.0,88.0,51.0,,,True
M. Ingvartsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",O. Villadsen,"July 19, 2024 at 8:00:00 PM GMT+2",70.0,48.0,94.0,39.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",O. Antman,"July 19, 2024 at 8:00:00 PM GMT+2",88.0,18.0,99.0,28.0,,,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",K. Davidsen,"July 19, 2024 at 8:00:00 PM GMT+2",66.0,82.0,89.0,65.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",80.0,22.0,100.0,77.0,,,True
D. Svensson,Nordsjælland,"Nordsjælland - AaB, 3 - 0",V. Müller,"July 19, 2024 at 8:00:00 PM GMT+2",48.0,21.0,88.0,53.0,,,True
N. Arnórsson,AaB,"Nordsjælland - AaB, 3 - 0",J. Iredale,"July 19, 2024 at 8:00:00 PM GMT+2",77.0,9.0,86.0,27.0,,,True
D. Svensson,Nordsjælland,"Nordsjælland - AaB, 3 - 0",V. Müller,"July 19, 2024 at 8:00:00 PM GMT+2",100.0,100.0,95.0,50.0,,,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",K. Jørgensen,"July 19, 2024 at 8:00:00 PM GMT+2",68.0,71.0,96.0,75.0,,,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",A. Hansen,"July 19, 2024 at 8:00:00 PM GMT+2",45.0,53.0,96.0,66.0,,,True
P. Ankersen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",K. Jørgensen,"July 19, 2024 at 8:00:00 PM GMT+2",98.0,89.0,91.0,29.0,,,True
K. Hansen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",C. Harder,"July 19, 2024 at 8:00:00 PM GMT+2",71.0,62.0,90.0,42.0,,,True
O. Ross,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",78.0,37.0,,,86.0,49.0,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",100.0,0.0,100.0,71.0,,,True
K. Hansen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",V. Müller,"July 19, 2024 at 8:00:00 PM GMT+2",38.0,74.0,88.0,47.0,,,True
L. Kramer,AaB,"Nordsjælland - AaB, 3 - 0",K. Hansen,"July 19, 2024 at 8:00:00 PM GMT+2",64.0,74.0,87.0,40.0,,,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",O. Villadsen,"July 19, 2024 at 8:00:00 PM GMT+2",62.0,18.0,89.0,63.0,,,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",58.0,85.0,,,85.0,62.0,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",L. Hey,"July 19, 2024 at 8:00:00 PM GMT+2",72.0,86.0,88.0,51.0,,,True
M. Ingvartsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",C. Harder,"July 19, 2024 at 8:00:00 PM GMT+2",72.0,67.0,97.0,65.0,,,True
P. Ankersen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",K. Davidsen,"July 19, 2024 at 8:00:00 PM GMT+2",91.0,88.0,87.0,48.0,,,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",M. Ingvartsen,"July 19, 2024 at 8:00:00 PM GMT+2",63.0,49.0,90.0,40.0,,,True
J. Tverskov,Nordsjælland,"Nordsjælland - AaB, 3 - 0",V. Müller,"July 19, 2024 at 8:00:00 PM GMT+2",52.0,44.0,89.0,39.0,,,True
O. Antman,Nordsjælland,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",92.0,13.0,,,91.0,23.0,True
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",O. Antman,"July 19, 2024 at 8:00:00 PM GMT+2",80.0,22.0,88.0,27.0,,,True
P. Ankersen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",V. Müller,"July 19, 2024 at 8:00:00 PM GMT+2",79.0,78.0,97.0,44.0,,,True
O. Ross,AaB,"Nordsjælland - AaB, 3 - 0",M. Jørgensen,"July 19, 2024 at 8:00:00 PM GMT+2",87.0,14.0,95.0,25.0,,,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",A. Hansen,"July 19, 2024 at 8:00:00 PM GMT+2",62.0,91.0,97.0,71.0,,,True
M. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",81.0,68.0,,,91.0,74.0,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",K. John,"July 19, 2024 at 8:00:00 PM GMT+2",69.0,86.0,91.0,75.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",K. Davidsen,"July 19, 2024 at 8:00:00 PM GMT+2",77.0,13.0,85.0,39.0,,,True
M. Ingvartsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",P. Ankersen,"July 19, 2024 at 8:00:00 PM GMT+2",75.0,57.0,85.0,69.0,,,True
O. Ross,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",70.0,17.0,,,92.0,29.0,True
O. Ross,AaB,"Nordsjælland - AaB, 3 - 0",L. Kramer,"July 19, 2024 at 8:00:00 PM GMT+2",100.0,0.0,96.0,64.0,,,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",O. Villadsen,"July 19, 2024 at 8:00:00 PM GMT+2",87.0,100.0,96.0,70.0,,,True
M. Dorgeles,Nordsjælland,"Nordsjælland - AaB, 3 - 0",C. Harder,"July 19, 2024 at 8:00:00 PM GMT+2",68.0,64.0,85.0,25.0,,,True
K. John,AaB,"Nordsjælland - AaB, 3 - 0",M. Widell,"July 19, 2024 at 8:00:00 PM GMT+2",78.0,62.0,95.0,72.0,,,True
S. Egeli,Nordsjælland,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",93.0,83.0,,,94.0,68.0,True
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",65.0,9.0,,,97.0,24.0,True
Diego Caballo,AaB,"Nordsjælland - AaB, 3 - 0",K. John,"July 19, 2024 at 8:00:00 PM GMT+2",67.0,26.0,89.0,66.0,,,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",M. Widell,"July 19, 2024 at 8:00:00 PM GMT+2",90.0,92.0,92.0,70.0,,,True
M. Widell,AaB,"Nordsjælland - AaB, 3 - 0",Diego Caballo,"July 19, 2024 at 8:00:00 PM GMT+2",95.0,84.0,95.0,25.0,,,True
Diego Caballo,AaB,"Nordsjælland - AaB, 3 - 0",A. Hansen,"July 19, 2024 at 8:00:00 PM GMT+2",100.0,100.0,97.0,49.0,,,True
M. Hansen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",55.0,88.0,,,90.0,72.0,True
M. Ingvartsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",M. Hansen,"July 19, 2024 at 8:00:00 PM GMT+2",78.0,72.0,93.0,66.0,,,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",L. Hey,"July 19, 2024 at 8:00:00 PM GMT+2",84.0,97.0,99.0,72.0,,,True
L. Kramer,AaB,"Nordsjælland - AaB, 3 - 0",O. Ross,"July 19, 2024 at 8:00:00 PM GMT+2",57.0,69.0,88.0,33.0,,,True
O. Villadsen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",M. Hansen,"July 19, 2024 at 8:00:00 PM GMT+2",80.0,19.0,98.0,65.0,,,True
Diego Caballo,AaB,"Nordsjælland - AaB, 3 - 0",K. Jørgensen,"July 19, 2024 at 8:00:00 PM GMT+2",100.0,0.0,91.0,34.0,,,True
S. Egeli,Nordsjælland,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",76.0,18.0,,,89.0,28.0,True
Diego Caballo,AaB,"Nordsjælland - AaB, 3 - 0",M. Jørgensen,"July 19, 2024 at 8:00:00 PM GMT+2",77.0,9.0,91.0,45.0,,,True
M. Hansen,Nordsjælland,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",55.0,87.0,,,84.0,65.0,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",L. Hey,"July 19, 2024 at 8:00:00 PM GMT+2",77.0,86.0,91.0,58.0,,,True
K. Jørgensen,AaB,"Nordsjælland - AaB, 3 - 0",,"July 19, 2024 at 8:00:00 PM GMT+2",83.0,82.0,,,89.0,73.0,True
O. Ross,AaB,"Nordsjælland - AaB, 3 - 0",O. Villadsen,"July 19, 2024 at 8:00:00 PM GMT+2",75.0,17.0,96.0,67.0,,,True
Diego Caballo,AaB,"Nordsjælland - AaB, 3 - 0",O. Ross,"July 19, 2024 at 8:00:00 PM GMT+2",100.0,100.0,95.0,31.0,,,True
Diego Caballo,AaB,"Nordsjælland - AaB, 3 - 0",A. Hansen,"July 19, 2024 at 8:00:00 PM GMT+2",68.0,85.0,96.0,50.0,,,True
A. Poulsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",A. Barkarson,"July 21, 2024 at 2:00:00 PM GMT+2",84.0,4.0,92.0,56.0,,,True
T. Adamsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",M. Larsen,"July 21, 2024 at 2:00:00 PM GMT+2",92.0,88.0,91.0,70.0,,,True
T. Adamsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",,"July 21, 2024 at 2:00:00 PM GMT+2",100.0,100.0,100.0,35.0,,,True
A. Barkarson,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",,"July 21, 2024 at 2:00:00 PM GMT+2",74.0,20.0,100.0,22.0,,,True
T. Adamsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",N. Flø,"July 21, 2024 at 2:00:00 PM GMT+2",100.0,100.0,95.0,48.0,,,True
A. Poulsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",T. Adamsen,"July 21, 2024 at 2:00:00 PM GMT+2",74.0,37.0,96.0,69.0,,,True
T. Adamsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",,"July 21, 2024 at 2:00:00 PM GMT+2",76.0,88.0,,,97.0,70.0,True
A. Oggesen,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",I. Djantou,"July 21, 2024 at 2:00:00 PM GMT+2",44.0,97.0,89.0,78.0,,,True
A. Poulsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",I. Nikolov,"July 21, 2024 at 2:00:00 PM GMT+2",87.0,10.0,86.0,55.0,,,True
A. Barkarson,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",,"July 21, 2024 at 2:00:00 PM GMT+2",94.0,10.0,100.0,59.0,,,True
A. Barkarson,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",N. Larsen,"July 21, 2024 at 2:00:00 PM GMT+2",100.0,100.0,97.0,53.0,,,True
A. Barkarson,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",P. Rödin,"July 21, 2024 at 2:00:00 PM GMT+2",54.0,12.0,90.0,19.0,,,True
A. Barkarson,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",D. Grétarsson,"July 21, 2024 at 2:00:00 PM GMT+2",100.0,100.0,97.0,59.0,,,True
A. Lyng,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",R. Østrøm,"July 21, 2024 at 2:00:00 PM GMT+2",79.0,34.0,87.0,39.0,,,True
A. Barkarson,SønderjyskE,"Silkeborg - SønderjyskE, 1 - 0",N. Larsen,"July 21, 2024 at 2:00:00 PM GMT+2",83.0,14.0,85.0,54.0,,,True
A. Poulsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",T. Adamsen,"July 21, 2024 at 2:00:00 PM GMT+2",80.0,6.0,84.0,49.0,,,True
T. Adamsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",M. Larsen,"July 21, 2024 at 2:00:00 PM GMT+2",86.0,84.0,85.0,69.0,,,True
M. Larsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",R. Orazov,"July 21, 2024 at 2:00:00 PM GMT+2",96.0,84.0,92.0,43.0,,,True
A. Poulsen,Silkeborg,"Silkeborg - SønderjyskE, 1 - 0",A. Lind,"July 21, 2024 at 2:00:00 PM GMT+2",73.0,32.0,90.0,43.0,,,True
