label,date,team.name,count
"SønderjyskE - København, 0 - 2","August 11, 2024 at 6:00:00 PM GMT+2",København,37
"SønderjyskE - København, 0 - 2","August 11, 2024 at 6:00:00 PM GMT+2",SønderjyskE,29
"SønderjyskE - Lyngby, 1 - 1","July 26, 2024 at 7:00:00 PM GMT+2",Lyngby,23
"SønderjyskE - Lyngby, 1 - 1","July 26, 2024 at 7:00:00 PM GMT+2",SønderjyskE,41
"SønderjyskE - Viborg, 2 - 2","September 1, 2024 at 2:00:00 PM GMT+2",SønderjyskE,34
"SønderjyskE - Viborg, 2 - 2","September 1, 2024 at 2:00:00 PM GMT+2",Viborg,39
"Vejle - Nordsjælland, 0 - 1","August 5, 2024 at 7:00:00 PM GMT+2",Nordsjælland,42
"Vejle - Nordsjælland, 0 - 1","August 5, 2024 at 7:00:00 PM GMT+2",Vejle,34
"Vejle - Randers, 2 - 3","July 21, 2024 at 4:00:00 PM GMT+2",Randers,39
"Vejle - Randers, 2 - 3","July 21, 2024 at 4:00:00 PM GMT+2",Vejle,35
"Vejle - Silkeborg, 1 - 3","August 25, 2024 at 2:00:00 PM GMT+2",Silkeborg,29
"Vejle - Silkeborg, 1 - 3","August 25, 2024 at 2:00:00 PM GMT+2",Vejle,48
"Viborg - AaB, 2 - 3","August 12, 2024 at 7:00:00 PM GMT+2",AaB,30
"Viborg - AaB, 2 - 3","August 12, 2024 at 7:00:00 PM GMT+2",Viborg,50
"Viborg - Brøndby, 3 - 3","July 21, 2024 at 6:00:00 PM GMT+2",Brøndby,51
"Viborg - Brøndby, 3 - 3","July 21, 2024 at 6:00:00 PM GMT+2",Viborg,18
"Viborg - Lyngby, 1 - 0","August 26, 2024 at 7:00:00 PM GMT+2",Lyngby,50
"Viborg - Lyngby, 1 - 0","August 26, 2024 at 7:00:00 PM GMT+2",Viborg,35
